FUNC __main__.main 104.0000 1773066338.6342 113.2031 1773066339.4162 0
CMDLINE /Users/antonronnquist/Desktop/optimizations-of-sph/env/bin/python3.14 sph.py
MEM 0.171875 1773066338.2150
MEM 48.578125 1773066338.3201
MEM 73.640625 1773066338.4244
MEM 89.406250 1773066338.5284
MEM 103.984375 1773066338.6335
MEM 113.203125 1773066338.7386
MEM 113.203125 1773066338.8437
MEM 113.203125 1773066338.9487
MEM 113.203125 1773066339.0538
MEM 113.203125 1773066339.1588
MEM 113.203125 1773066339.2639
MEM 113.203125 1773066339.3689
MEM 112.296875 1773066339.4740
